75.9700	133.0049	76.0200	125.9723	75.9700	84.0478	76.0200	81.1787
76.4700	132.7117	76.5300	122.4920	76.4700	86.6564	76.5300	81.2373
77.0000	129.8425	77.0300	122.0641	77.0000	84.3441	77.0300	77.2740
77.4700	127.9270	77.5300	121.9167	77.4700	85.6029	77.5300	79.4835
77.9700	127.8303	78.0100	118.6712	77.9700	84.3865	78.0100	76.5176
78.4600	125.9639	78.4800	120.2714	78.4600	83.1135	78.4800	75.7788
78.9900	126.2655	79.0100	118.1894	78.9900	82.3722	79.0100	75.2184
79.5000	124.4321	79.4800	115.8781	79.5000	81.1461	79.4800	78.0842
79.9600	124.9768	79.9800	116.4472	79.9600	79.7235	79.9800	75.2255
80.4700	124.4810	80.5000	114.6987	80.4700	78.3221	80.5000	74.0357
80.9700	122.8782	81.0100	116.4342	80.9700	78.9803	81.0100	73.5771
81.4700	120.7906	81.5100	112.0928	81.4700	74.7264	81.5100	74.1437
81.9800	120.2696	82.0000	115.4087	81.9800	76.1193	82.0000	71.8792
82.4700	118.3154	82.5300	111.0527	82.4700	76.4818	82.5300	70.4204
82.9700	118.5956	83.0300	110.6395	82.9700	76.6562	83.0300	71.4087
83.4700	116.7547	83.4800	108.9702	83.4700	74.1756	83.4800	70.5515
83.9900	115.1847	84.0100	109.7666	83.9900	74.2617	84.0100	69.8528
84.4800	116.1717	84.5200	106.5727	84.4800	72.7384	84.5200	68.7190
84.9600	115.8695	85.0300	110.2751	84.9600	74.0330	85.0300	69.5885
85.4900	113.7645	85.5000	109.0810	85.4900	72.7703	85.5000	68.3169
85.9700	113.1073	86.0000	105.6314	85.9700	71.3934	86.0000	67.9371
86.4600	112.6369	86.5300	103.3190	86.4600	71.2685	86.5300	67.4422
87.0100	112.9530	87.1000	106.0449	87.0100	70.9802	87.1000	67.1730
87.4900	112.1629	87.5000	103.8315	87.4900	71.9852	87.5000	64.8741
87.9900	108.6180	87.9900	101.8528	87.9900	70.5885	87.9900	65.2012
88.5000	109.1398	88.5700	102.1339	88.5000	69.5378	88.5700	64.3823
89.0100	110.5478	89.0200	99.0598	89.0100	68.1611	89.0200	63.3461
89.4700	107.3792	89.5200	101.1532	89.4700	68.3211	89.5200	62.7507
89.9600	105.3797	90.0300	98.6903	89.9600	68.0854	90.0300	63.0798
